"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"06756","San Isidro","Total",71139,21821
"06760","San Miguel","Hasta   0.50 personas por cuarto",11552,1618
"06760","San Miguel","0.51  -  0.99  personas por cuarto",12522,1067
"06760","San Miguel","1.00  -  1.49  personas por cuarto",19159,2688
"06760","San Miguel","1.50  -  1.99  personas por cuarto",5867,551
"06760","San Miguel","2.00  -  3.00  personas por cuarto",6554,937
"06760","San Miguel","Más de  3.00 personas por cuarto",1050,121
"06760","San Miguel","Total",56704,6982
"06805","Tigre","Hasta   0.50 personas por cuarto",15787,1477
"06805","Tigre","0.51  -  0.99  personas por cuarto",17630,915
"06805","Tigre","1.00  -  1.49  personas por cuarto",27134,2101
"06805","Tigre","1.50  -  1.99  personas por cuarto",8403,419
"06805","Tigre","2.00  -  3.00  personas por cuarto",10315,1184
"06805","Tigre","Más de  3.00 personas por cuarto",1912,136
"06805","Tigre","Total",81181,6232
"06840","Tres de Febrero","Hasta   0.50 personas por cuarto",18867,6723
"06840","Tres de Febrero","0.51  -  0.99  personas por cuarto",17321,4636
"06840","Tres de Febrero","1.00  -  1.49  personas por cuarto",26581,10526
"06840","Tres de Febrero","1.50  -  1.99  personas por cuarto",6341,2511
"06840","Tres de Febrero","2.00  -  3.00  personas por cuarto",6642,2868
"06840","Tres de Febrero","Más de  3.00 personas por cuarto",852,463
"06840","Tres de Febrero","Total",76604,27727
"06861","Vicente López","Hasta   0.50 personas por cuarto",19914,12437
"06861","Vicente López","0.51  -  0.99  personas por cuarto",18302,6407
"06861","Vicente López","1.00  -  1.49  personas por cuarto",17226,11444
"06861","Vicente López","1.50  -  1.99  personas por cuarto",2853,1779
"06861","Vicente López","2.00  -  3.00  personas por cuarto",2339,1921
"06861","Vicente López","Más de  3.00 personas por cuarto",227,147
"06861","Vicente López","Total",60861,34135
"06007","Adolfo Alsina","Hasta   0.50 personas por cuarto",2111,22
"06007","Adolfo Alsina","0.51  -  0.99  personas por cuarto",1224,11
"06007","Adolfo Alsina","1.00  -  1.49  personas por cuarto",1467,65
"06007","Adolfo Alsina","1.50  -  1.99  personas por cuarto",403,3
"06007","Adolfo Alsina","2.00  -  3.00  personas por cuarto",433,29
"06007","Adolfo Alsina","Más de  3.00 personas por cuarto",41,8
"06007","Adolfo Alsina","Total",5679,138
"06014","Adolfo Gonzáles Chaves","Hasta   0.50 personas por cuarto",1379,26
"06014","Adolfo Gonzáles Chaves","0.51  -  0.99  personas por cuarto",809,6
"06014","Adolfo Gonzáles Chaves","1.00  -  1.49  personas por cuarto",1042,29
"06014","Adolfo Gonzáles Chaves","1.50  -  1.99  personas por cuarto",276,5
"06014","Adolfo Gonzáles Chaves","2.00  -  3.00  personas por cuarto",292,13
"06014","Adolfo Gonzáles Chaves","Más de  3.00 personas por cuarto",29,2
"06014","Adolfo Gonzáles Chaves","Total",3827,81
"06021","Alberti","Hasta   0.50 personas por cuarto",1290,8
"06021","Alberti","0.51  -  0.99  personas por cuarto",878,4
"06021","Alberti","1.00  -  1.49  personas por cuarto",917,3
"06021","Alberti","1.50  -  1.99  personas por cuarto",204,0
"06021","Alberti","2.00  -  3.00  personas por cuarto",230,0
"06021","Alberti","Más de  3.00 personas por cuarto",28,0
"06021","Alberti","Total",3547,15
"06042","Ayacucho","Hasta   0.50 personas por cuarto",2075,71
"06042","Ayacucho","0.51  -  0.99  personas por cuarto",1123,29
"06042","Ayacucho","1.00  -  1.49  personas por cuarto",1736,60
"06042","Ayacucho","1.50  -  1.99  personas por cuarto",505,7
"06042","Ayacucho","2.00  -  3.00  personas por cuarto",807,12
"06042","Ayacucho","Más de  3.00 personas por cuarto",130,0
"06042","Ayacucho","Total",6376,179
"06049","Azul","Hasta   0.50 personas por cuarto",5835,874
"06049","Azul","0.51  -  0.99  personas por cuarto",3886,449
"06049","Azul","1.00  -  1.49  personas por cuarto",5068,579
"06049","Azul","1.50  -  1.99  personas por cuarto",1493,108
